Student ID,Quiz ID,Question ID,Date,Subject,Section of said Subject,Major,Grade of Student,University,Correct
10036,1,1-9,2024-01-01,Economics,Economics Section 7,Science,4,University A,True
10036,1,1-10,2024-01-01,History,History Section 5,Science,4,University A,True
10036,1,1-11,2024-01-01,History,History Section 4,Science,4,University A,True
10036,1,1-12,2024-01-01,Economics,Economics Section 5,Science,4,University A,True
10036,1,1-13,2024-01-01,Economics,Economics Section 5,Science,4,University A,False
10036,1,1-14,2024-01-01,Biology,Biology Section 1,Science,4,University A,False
10036,1,1-15,2024-01-01,Physics,Physics Section 5,Science,4,University A,True
10036,1,1-16,2024-01-01,Math,Math Section 4,Science,4,University A,True
10036,1,1-17,2024-01-01,Physics,Physics Section 5,Science,4,University A,True
10036,1,1-18,2024-01-01,Physics,Physics Section 4,Science,4,University A,True
10036,1,1-19,2024-01-01,Physics,Physics Section 4,Science,4,University A,True
10036,1,1-20,2024-01-01,Math,Math Section 8,Science,4,University A,False
10036,1,1-21,2024-01-01,Economics,Economics Section 9,Science,4,University A,False
10036,1,1-22,2024-01-01,English,English Section 2,Science,4,University A,True
10036,1,1-23,2024-01-01,History,History Section 1,Science,4,University A,False
10036,1,1-24,2024-01-01,English,English Section 5,Science,4,University A,True
10036,1,1-25,2024-01-01,History,History Section 6,Science,4,University A,True
10080,1,1-1,2024-01-01,Science,Science Section 8,Biology,1,University B,False
10080,1,1-2,2024-01-01,English,English Section 2,Biology,1,University B,False
10080,1,1-3,2024-01-01,History,History Section 5,Biology,1,University B,True
10080,1,1-4,2024-01-01,Physics,Physics Section 4,Biology,1,University B,False
10080,1,1-5,2024-01-01,Physics,Physics Section 3,Biology,1,University B,True
10080,1,1-6,2024-01-01,History,History Section 8,Biology,1,University B,False
10080,1,1-7,2024-01-01,Biology,Biology Section 10,Biology,1,University B,True
10080,1,1-8,2024-01-01,Math,Math Section 6,Biology,1,University B,True
10080,1,1-9,2024-01-01,English,English Section 4,Biology,1,University B,True
10080,1,1-10,2024-01-01,History,History Section 6,Biology,1,University B,False
10080,1,1-11,2024-01-01,Science,Science Section 8,Biology,1,University B,True
10080,1,1-12,2024-01-01,Science,Science Section 1,Biology,1,University B,False
10080,1,1-13,2024-01-01,Science,Science Section 7,Biology,1,University B,False
10080,1,1-14,2024-01-01,History,History Section 4,Biology,1,University B,True
10080,1,1-15,2024-01-01,Math,Math Section 5,Biology,1,University B,True
10080,1,1-16,2024-01-01,Economics,Economics Section 4,Biology,1,University B,False
10080,1,1-17,2024-01-01,Economics,Economics Section 5,Biology,1,University B,True
10080,1,1-18,2024-01-01,Science,Science Section 7,Biology,1,University B,True
10080,1,1-19,2024-01-01,Physics,Physics Section 2,Biology,1,University B,True
10080,1,1-20,2024-01-01,Math,Math Section 7,Biology,1,University B,False
10080,1,1-21,2024-01-01,History,History Section 5,Biology,1,University B,False
10080,1,1-22,2024-01-01,History,History Section 8,Biology,1,University B,False
10080,1,1-23,2024-01-01,Economics,Economics Section 5,Biology,1,University B,False
10080,1,1-24,2024-01-01,Math,Math Section 1,Biology,1,University B,False
10080,1,1-25,2024-01-01,Science,Science Section 3,Biology,1,University B,True
10157,1,1-1,2024-01-01,Math,Math Section 10,Science,1,University C,True
10157,1,1-2,2024-01-01,Biology,Biology Section 8,Science,1,University C,False
10157,1,1-3,2024-01-01,Economics,Economics Section 1,Science,1,University C,False
10157,1,1-4,2024-01-01,Economics,Economics Section 6,Science,1,University C,False
10157,1,1-5,2024-01-01,Math,Math Section 2,Science,1,University C,False
10157,1,1-6,2024-01-01,History,History Section 7,Science,1,University C,True
10157,1,1-7,2024-01-01,Biology,Biology Section 6,Science,1,University C,True
10157,1,1-8,2024-01-01,Science,Science Section 7,Science,1,University C,True
10157,1,1-9,2024-01-01,Science,Science Section 8,Science,1,University C,True
10157,1,1-10,2024-01-01,Math,Math Section 3,Science,1,University C,True
10157,1,1-11,2024-01-01,Economics,Economics Section 9,Science,1,University C,True
10157,1,1-12,2024-01-01,History,History Section 5,Science,1,University C,True
10157,1,1-13,2024-01-01,Math,Math Section 10,Science,1,University C,True
10157,1,1-14,2024-01-01,History,History Section 7,Science,1,University C,False
10157,1,1-15,2024-01-01,History,History Section 8,Science,1,University C,False
10157,1,1-16,2024-01-01,English,English Section 5,Science,1,University C,True
10157,1,1-17,2024-01-01,Physics,Physics Section 2,Science,1,University C,False
10157,1,1-18,2024-01-01,History,History Section 3,Science,1,University C,True
10157,1,1-19,2024-01-01,Physics,Physics Section 7,Science,1,University C,False
10157,1,1-20,2024-01-01,Physics,Physics Section 5,Science,1,University C,True
10157,1,1-21,2024-01-01,Physics,Physics Section 9,Science,1,University C,True
10157,1,1-22,2024-01-01,Physics,Physics Section 9,Science,1,University C,True
10157,1,1-23,2024-01-01,Math,Math Section 5,Science,1,University C,False
10157,1,1-24,2024-01-01,English,English Section 5,Science,1,University C,True
10157,1,1-25,2024-01-01,English,English Section 4,Science,1,University C,True
10171,1,1-1,2024-01-01,Physics,Physics Section 2,Engineering,1,University D,True
10171,1,1-2,2024-01-01,Physics,Physics Section 2,Engineering,1,University D,False
10171,1,1-3,2024-01-01,English,English Section 9,Engineering,1,University D,False
10171,1,1-4,2024-01-01,English,English Section 3,Engineering,1,University D,True
10171,1,1-5,2024-01-01,Biology,Biology Section 10,Engineering,1,University D,False
10171,1,1-6,2024-01-01,Physics,Physics Section 3,Engineering,1,University D,True
10171,1,1-7,2024-01-01,Biology,Biology Section 8,Engineering,1,University D,False
10171,1,1-8,2024-01-01,Biology,Biology Section 10,Engineering,1,University D,False
10171,1,1-9,2024-01-01,Economics,Economics Section 9,Engineering,1,University D,False
10171,1,1-10,2024-01-01,Science,Science Section 4,Engineering,1,University D,True
10171,1,1-11,2024-01-01,Physics,Physics Section 10,Engineering,1,University D,True
10171,1,1-12,2024-01-01,History,History Section 5,Engineering,1,University D,False
10171,1,1-13,2024-01-01,History,History Section 8,Engineering,1,University D,True
10171,1,1-14,2024-01-01,Math,Math Section 2,Engineering,1,University D,True
10171,1,1-15,2024-01-01,Science,Science Section 2,Engineering,1,University D,True
10171,1,1-16,2024-01-01,Economics,Economics Section 6,Engineering,1,University D,True
10171,1,1-17,2024-01-01,English,English Section 7,Engineering,1,University D,False
10171,1,1-18,2024-01-01,Math,Math Section 2,Engineering,1,University D,False
10171,1,1-19,2024-01-01,Science,Science Section 5,Engineering,1,University D,False
10171,1,1-20,2024-01-01,English,English Section 3,Engineering,1,University D,False
10171,1,1-21,2024-01-01,History,History Section 9,Engineering,1,University D,True
10171,1,1-22,2024-01-01,Biology,Biology Section 8,Engineering,1,University D,False
10171,1,1-23,2024-01-01,Science,Science Section 10,Engineering,1,University D,False
10171,1,1-24,2024-01-01,Math,Math Section 4,Engineering,1,University D,False
10171,1,1-25,2024-01-01,Biology,Biology Section 7,Engineering,1,University D,True
10165,1,1-1,2024-01-01,Physics,Physics Section 8,Science,4,University E,False
10165,1,1-2,2024-01-01,Math,Math Section 5,Science,4,University E,True
10165,1,1-3,2024-01-01,Economics,Economics Section 8,Science,4,University E,True
10165,1,1-4,2024-01-01,Biology,Biology Section 5,Science,4,University E,False
10165,1,1-5,2024-01-01,Economics,Economics Section 10,Science,4,University E,False
10165,1,1-6,2024-01-01,Physics,Physics Section 7,Science,4,University E,False
10165,1,1-7,2024-01-01,Math,Math Section 4,Science,4,University E,True
10165,1,1-8,2024-01-01,Biology,Biology Section 5,Science,4,University E,False
10165,1,1-9,2024-01-01,Science,Science Section 3,Science,4,University E,False
10165,1,1-10,2024-01-01,Physics,Physics Section 4,Science,4,University E,False
10165,1,1-11,2024-01-01,Biology,Biology Section 3,Science,4,University E,True
10165,1,1-12,2024-01-01,Science,Science Section 6,Science,4,University E,False
10165,1,1-13,2024-01-01,Science,Science Section 6,Science,4,University E,True
10165,1,1-14,2024-01-01,Economics,Economics Section 7,Science,4,University E,True
10165,1,1-15,2024-01-01,History,History Section 9,Science,4,University E,False
10165,1,1-16,2024-01-01,Physics,Physics Section 2,Science,4,University E,False
10165,1,1-17,2024-01-01,Economics,Economics Section 3,Science,4,University E,False
10165,1,1-18,2024-01-01,Math,Math Section 2,Science,4,University E,False
10165,1,1-19,2024-01-01,English,English Section 6,Science,4,University E,True
10165,1,1-20,2024-01-01,History,History Section 10,Science,4,University E,True
10165,1,1-21,2024-01-01,Biology,Biology Section 3,Science,4,University E,False
10165,1,1-22,2024-01-01,Economics,Economics Section 4,Science,4,University E,True
10165,1,1-23,2024-01-01,Science,Science Section 10,Science,4,University E,True
10165,1,1-24,2024-01-01,Math,Math Section 3,Science,4,University E,True
10165,1,1-25,2024-01-01,Physics,Physics Section 6,Science,4,University E,True
10177,2,2-1,2024-01-08,History,History Section 10,Math,3,University A,True
10177,2,2-2,2024-01-08,Physics,Physics Section 7,Math,3,University A,True
10177,2,2-3,2024-01-08,Biology,Biology Section 6,Math,3,University A,True
10177,2,2-4,2024-01-08,Biology,Biology Section 9,Math,3,University A,True
10177,2,2-5,2024-01-08,English,English Section 3,Math,3,University A,True
10177,2,2-6,2024-01-08,History,History Section 3,Math,3,University A,True
10177,2,2-7,2024-01-08,History,History Section 3,Math,3,University A,True
10177,2,2-8,2024-01-08,Science,Science Section 4,Math,3,University A,False
10177,2,2-9,2024-01-08,Biology,Biology Section 8,Math,3,University A,True
10177,2,2-10,2024-01-08,Math,Math Section 7,Math,3,University A,True
10177,2,2-11,2024-01-08,Biology,Biology Section 10,Math,3,University A,True
10177,2,2-12,2024-01-08,Economics,Economics Section 2,Math,3,University A,True
10177,2,2-13,2024-01-08,Science,Science Section 8,Math,3,University A,True
10177,2,2-14,2024-01-08,History,History Section 2,Math,3,University A,True
10177,2,2-15,2024-01-08,English,English Section 9,Math,3,University A,False
10177,2,2-16,2024-01-08,Biology,Biology Section 6,Math,3,University A,True
10177,2,2-17,2024-01-08,Economics,Economics Section 9,Math,3,University A,False
10177,2,2-18,2024-01-08,Science,Science Section 2,Math,3,University A,False
10177,2,2-19,2024-01-08,Science,Science Section 6,Math,3,University A,False
10177,2,2-20,2024-01-08,Biology,Biology Section 7,Math,3,University A,False
10177,2,2-21,2024-01-08,Physics,Physics Section 10,Math,3,University A,True
10177,2,2-22,2024-01-08,Physics,Physics Section 6,Math,3,University A,False
10177,2,2-23,2024-01-08,Science,Science Section 2,Math,3,University A,True
10177,2,2-24,2024-01-08,English,English Section 6,Math,3,University A,True
10177,2,2-25,2024-01-08,English,English Section 5,Math,3,University A,False
10254,2,2-1,2024-01-08,Science,Science Section 2,Science,4,University B,False
10254,2,2-2,2024-01-08,Economics,Economics Section 5,Science,4,University B,False
10254,2,2-3,2024-01-08,Economics,Economics Section 1,Science,4,University B,False
10254,2,2-4,2024-01-08,Biology,Biology Section 3,Science,4,University B,False
10254,2,2-5,2024-01-08,History,History Section 2,Science,4,University B,True
10254,2,2-6,2024-01-08,History,History Section 8,Science,4,University B,False
10254,2,2-7,2024-01-08,Science,Science Section 3,Science,4,University B,True
10254,2,2-8,2024-01-08,English,English Section 8,Science,4,University B,True
10254,2,2-9,2024-01-08,Math,Math Section 9,Science,4,University B,False
10254,2,2-10,2024-01-08,History,History Section 3,Science,4,University B,False
10254,2,2-11,2024-01-08,Economics,Economics Section 6,Science,4,University B,False
10254,2,2-12,2024-01-08,Physics,Physics Section 7,Science,4,University B,False
10254,2,2-13,2024-01-08,Biology,Biology Section 10,Science,4,University B,False
10254,2,2-14,2024-01-08,Math,Math Section 4,Science,4,University B,True
10254,2,2-15,2024-01-08,Physics,Physics Section 5,Science,4,University B,False
10254,2,2-16,2024-01-08,Biology,Biology Section 1,Science,4,University B,False
10254,2,2-17,2024-01-08,Biology,Biology Section 8,Science,4,University B,True
10254,2,2-18,2024-01-08,Math,Math Section 3,Science,4,University B,False
10254,2,2-19,2024-01-08,History,History Section 2,Science,4,University B,False
10254,2,2-20,2024-01-08,History,History Section 5,Science,4,University B,False
10254,2,2-21,2024-01-08,Math,Math Section 3,Science,4,University B,True
10254,2,2-22,2024-01-08,Science,Science Section 2,Science,4,University B,False
10254,2,2-23,2024-01-08,Science,Science Section 10,Science,4,University B,True
10254,2,2-24,2024-01-08,English,English Section 8,Science,4,University B,True
10254,2,2-25,2024-01-08,English,English Section 7,Science,4,University B,False
10249,2,2-1,2024-01-08,Science,Science Section 1,Engineering,2,University C,False
10249,2,2-2,2024-01-08,Physics,Physics Section 10,Engineering,2,University C,True
10249,2,2-3,2024-01-08,History,History Section 1,Engineering,2,University C,False
10249,2,2-4,2024-01-08,Math,Math Section 2,Engineering,2,University C,True
10249,2,2-5,2024-01-08,Biology,Biology Section 2,Engineering,2,University C,False
10249,2,2-6,2024-01-08,Biology,Biology Section 8,Engineering,2,University C,True
10249,2,2-7,2024-01-08,History,History Section 10,Engineering,2,University C,True
10249,2,2-8,2024-01-08,Physics,Physics Section 10,Engineering,2,University C,False
10249,2,2-9,2024-01-08,Science,Science Section 2,Engineering,2,University C,False
10249,2,2-10,2024-01-08,Biology,Biology Section 9,Engineering,2,University C,False
10249,2,2-11,2024-01-08,Biology,Biology Section 9,Engineering,2,University C,True
10249,2,2-12,2024-01-08,Biology,Biology Section 6,Engineering,2,University C,True
10249,2,2-13,2024-01-08,Math,Math Section 3,Engineering,2,University C,False
10249,2,2-14,2024-01-08,Economics,Economics Section 3,Engineering,2,University C,False
10249,2,2-15,2024-01-08,History,History Section 5,Engineering,2,University C,False
10249,2,2-16,2024-01-08,Physics,Physics Section 9,Engineering,2,University C,True
10249,2,2-17,2024-01-08,Science,Science Section 4,Engineering,2,University C,False
10249,2,2-18,2024-01-08,Economics,Economics Section 6,Engineering,2,University C,True
10249,2,2-19,2024-01-08,Science,Science Section 8,Engineering,2,University C,True
10249,2,2-20,2024-01-08,Physics,Physics Section 7,Engineering,2,University C,True
10249,2,2-21,2024-01-08,Economics,Economics Section 9,Engineering,2,University C,False
10249,2,2-22,2024-01-08,English,English Section 7,Engineering,2,University C,True
10249,2,2-23,2024-01-08,Biology,Biology Section 4,Engineering,2,University C,False
10249,2,2-24,2024-01-08,Economics,Economics Section 7,Engineering,2,University C,True
